vix,vxn
15.87,16.959999
18.02,20.559999
14.28,14.83
15.51,16.299999
12.7,13.28
13.52,15.34
16.299999,15.99
16.860001,16.469999
13.45,14.25
17.01,17.530001
16.6,16.73
13.75,14.88
13.7,13.93
13.72,15.44
18.41,18.969999
14,15.01
13.88,18.120001
13.41,17.68
11.4,13.77
11.57,12.21
16.950001,16.82
12.09,12.71
16.309999,18.26
14.03,15.81
13.33,14.74
19.200001,19.639999
20.969999,21.59
13.34,14.62
15.29,17.290001
14.55,16.51
13.84,14.75
18.23,19.34
12.12,14.59
28.43,29.92
24.5,26.82
15.07,17.299999
16.129999,18.1
18.209999,19.629999
20.200001,23.639999
20.549999,23.549999
13.95,16.85
15.7,19.299999
14.19,15.25
15.63,17.58
11.87,13.97
13.42,15.34
13.29,15.45
17.059999,19.32
13.33,15.13
14.04,16.68
11.99,14.29
12.92,13.6
12.37,11.75
10.82,11.53
10.41,12.94
11.18,17.610001
10.26,15.87
10.59,14.33
9.51,13.85
9.8,14.3
