"panelist","week","n.trips"
14100859,"W614",5
14100859,"W615",5
14100859,"W616",5
14100859,"W617",5
14100859,"W618",4
14100859,"W619",5
14100859,"W620",6
14100859,"W621",4
14100859,"W622",7
14100859,"W623",5
14100859,"W624",8
14100859,"W625",3
14100859,"W626",8
14100859,"W627",7
14100859,"W628",7
14100859,"W629",6
14100859,"W630",8
14100859,"W631",7
14100859,"W632",6
14100859,"W633",4
14100859,"W634",11
14100859,"W635",7
14100859,"W636",7
14100859,"W637",7
14100859,"W638",7
14100859,"W639",7
14100859,"W640",9
14100859,"W641",7
14100859,"W642",9
14100859,"W643",6
14100859,"W644",6
14100859,"W645",4
14100859,"W646",8
14100859,"W647",10
14100859,"W648",8
14100859,"W649",11
14100859,"W650",5
14100859,"W651",9
14100859,"W652",8
14100859,"W653",8
14100859,"W654",12
14100859,"W655",11
14100859,"W656",8
14100859,"W657",11
14100859,"W658",6
14100859,"W659",7
14100859,"W660",7
14100859,"W661",8
14100859,"W662",7
14100859,"W663",9
14100859,"W664",8
14100859,"W665",7
14100859,"W666",12
14100859,"W667",8
14100859,"W668",8
14100859,"W669",9
14100859,"W670",9
14100859,"W671",11
14100859,"W672",7
14100859,"W673",6
14100859,"W674",7
14100859,"W675",8
14100859,"W676",8
14100859,"W677",8
14100859,"W678",9
14100859,"W679",5
14100859,"W680",6
14100859,"W681",6
14100859,"W682",8
14100859,"W683",8
14100859,"W684",10
14100859,"W685",7
14100859,"W686",7
14100859,"W687",7
14100859,"W688",7
14100859,"W689",7
14100859,"W690",8
14100859,"W691",7
14100859,"W692",6
14100859,"W693",5
14100859,"W694",1
14100859,"W695",2
14100859,"W696",2
14100859,"W697",4
14100859,"W698",3
14100859,"W699",6
14100859,"W700",6
14100859,"W701",7
14100859,"W702",9
14100859,"W703",5
14100859,"W704",8
14100859,"W705",7
14100859,"W706",6
14100859,"W707",6
14100859,"W708",4
14100859,"W709",8
14100859,"W710",6
14100859,"W711",5
14100859,"W712",6
14100859,"W713",5
14100859,"W714",8
14100859,"W715",6
14100859,"W716",8
14100859,"W717",8
