t,A_C,land,e_ind,B_FREQ,A_FREQ,K_FREQ,KAB_FREQ,vmt_exp
1,1,0,1,0,0,0,0,26.76573073
2,1,0,1,2,0,0,2,12.75966956
3,1,0,1,1,0,0,1,29.95794915
4,1,0,1,0,0,0,0,30.38966364
5,1,0,1,0,0,0,0,25.90050132
6,1,0,1,4,0,1,5,43.3050375
7,1,0,1,0,0,1,1,19.79523347
8,1,0,1,1,0,0,1,15.10275834
9,1,0,1,4,0,1,5,14.03353252
10,1,0,1,2,0,0,2,9.806604713
11,1,0,1,1,0,0,1,8.994341157
12,1,0,1,0,0,0,0,31.38193145
13,1,0,1,2,1,1,4,13.97056677
14,1,0,1,0,1,1,2,20.29456742
15,1,0,1,1,0,0,1,1.801797935
16,1,0,1,1,1,0,2,12.15128453
17,1,0,1,0,0,0,0,26.55083669
18,1,0,1,1,0,0,1,24.44144089
19,1,0,1,2,0,0,2,14.26455141
20,1,0,1,1,0,0,1,18.37172914
21,1,0,1,1,1,0,2,11.96278122
22,1,0,1,4,0,0,4,5.942125128
23,1,0,1,1,0,0,1,5.645284273
24,1,0,1,0,0,0,0,10.91966933
25,1,0,1,1,0,0,1,21.04426092
26,1,0,1,1,0,0,1,23.35650477
27,1,0,1,1,0,0,1,0.809534102
28,1,0,1,0,1,0,1,31.71485263
29,1,0,1,0,0,0,0,8.685088623
30,1,0,1,0,0,0,0,15.95181342
31,1,0,1,1,0,0,1,36.70210565
32,1,0,1,6,0,0,6,9.248126439
33,1,0,1,3,0,1,4,12.1127812
34,1,0,1,1,0,0,1,14.37349215
35,1,0,1,0,0,0,0,6.940897527
36,1,0,1,0,0,1,1,9.394664234
37,1,0,1,0,0,0,0,35.02309669
38,1,0,1,1,0,0,1,17.29809357
39,1,0,1,1,0,0,1,11.61119922
40,1,0,1,1,0,0,1,20.18551697
41,1,0,1,2,0,0,2,21.55041048
42,1,0,1,0,0,0,0,15.84242544
43,1,0,1,0,0,0,0,17.35164104
44,1,0,1,0,0,0,0,22.95661108
45,1,0,1,1,0,0,1,9.868128589
46,1,0,1,2,0,1,3,15.80922678
47,1,0,1,0,1,0,1,12.90541242
48,1,0,1,1,0,0,1,22.38176863
49,1,0,1,0,0,1,1,15.19391585
50,1,0,1,0,0,0,0,22.48793419
51,1,0,1,2,0,0,2,14.31263559
52,1,0,1,1,1,0,2,15.29547211
53,1,0,1,2,0,0,2,38.37253607
54,1,0,1,4,0,0,4,17.76645867
55,1,0,1,0,0,0,0,6.918800582
56,1,0,1,5,1,0,6,4.48660921
57,1,0,1,2,1,0,3,2.97147994
58,1,0,1,2,0,0,2,3.939163369
59,1,0,1,2,0,0,2,33.62807228
60,1,0,1,1,0,0,1,20.25094431
61,1,0,1,0,0,0,0,48.63434354
62,1,0,1,2,0,0,2,18.72414761
63,1,0,1,2,0,0,2,12.24277779
64,1,0,1,2,0,1,3,25.26704608
65,1,0,1,2,0,0,2,26.84551066
66,1,0,1,4,0,0,4,15.74532789
67,1,0,1,0,0,0,0,7.3188006
68,1,0,1,3,0,0,3,5.847369888
69,1,0,1,2,0,0,2,12.88834227
70,1,0,1,1,2,1,4,24.83052594
71,1,0,1,1,0,0,1,14.40557067
72,1,0,1,2,0,0,2,7.733637757
73,1,0,1,1,0,0,1,8.505728736
74,1,0,1,3,0,0,3,20.85655536
75,1,0,1,3,0,0,3,11.88061455
76,1,0,1,5,1,0,6,22.9078834
77,1,0,1,2,0,0,2,8.662069796
78,1,0,1,3,0,0,3,6.745179907
79,1,0,1,4,0,0,4,6.712237434
80,1,0,1,1,1,0,2,9.76308973
81,1,0,1,1,0,0,1,18.70219008
82,1,0,1,5,0,1,6,27.79042465
83,1,0,1,4,0,0,4,25.36684482
84,1,0,1,1,0,0,1,19.77550204
85,1,0,1,0,0,0,0,4.820246791
86,1,0,1,0,0,0,0,4.729734492
87,1,0,1,1,0,0,1,3.441071762
88,1,0,1,0,0,0,0,9.705535681
89,1,0,1,1,0,0,1,2.980581955
90,1,0,1,0,0,0,0,1.616842026
91,1,0,1,0,0,0,0,7.689488519
92,1,0,1,0,0,0,0,8.464955796
93,1,0,1,2,0,0,2,2.493550112
94,1,0,1,0,0,0,0,4.292425982
95,1,0,1,0,0,1,1,2.702855256
96,1,0,1,0,0,0,0,18.31967397
97,1,0,1,0,0,0,0,12.58411813
98,1,0,1,0,0,0,0,13.64091562
99,1,0,1,0,0,0,0,16.34767729
100,1,0,1,0,0,0,0,6.286133752
101,1,0,1,0,0,0,0,5.290626242
102,1,0,1,2,0,1,3,7.979451061
103,1,0,1,0,0,0,0,4.548561
104,1,0,1,3,0,0,3,5.487526333
105,1,0,1,1,0,0,1,12.95517511
106,1,0,1,1,0,1,2,5.701097733
107,1,0,1,2,0,0,2,11.66702431
108,1,0,1,0,0,0,0,3.494328536
109,1,0,1,1,0,0,1,10.70536267
110,1,0,1,0,0,0,0,4.888137526
111,1,0,1,2,0,0,2,4.06615375
112,1,0,1,1,0,0,1,12.20246671
113,1,0,1,0,0,0,0,10.38143672
114,1,0,1,0,0,0,0,3.178145652
115,1,0,1,1,0,0,1,9.152347217
116,1,0,1,1,0,0,1,5.235983881
117,1,0,1,0,0,0,0,6.483105116
118,1,0,1,0,0,0,0,14.49181316
119,1,0,1,0,0,0,0,3.795226682
120,1,0,1,1,0,0,1,3.582735574
121,1,0,1,3,0,0,3,20.13318204
122,1,0,1,1,0,0,1,8.414820245
123,1,0,1,0,0,0,0,6.725447362
124,1,0,1,1,0,0,1,5.897493882
125,1,0,1,1,0,0,1,2.90447821
126,1,0,1,0,0,0,0,10.68659117
127,1,0,1,2,0,0,2,4.203463362
128,1,0,1,1,0,0,1,8.014392922
129,1,0,1,2,0,0,2,9.351081067
130,1,0,1,0,0,0,0,5.786854468
131,1,0,1,0,0,0,0,16.01564439
132,1,0,1,0,0,0,0,8.719731982
133,1,0,1,2,0,1,3,17.68360842
134,1,0,1,1,0,0,1,16.69629634
135,1,0,1,0,0,0,0,6.600856256
136,1,0,1,1,0,0,1,16.48762396
137,1,0,1,0,0,0,0,9.676617394
138,1,0,1,0,0,0,0,5.247385241
139,1,0,1,0,0,1,1,13.61556863
140,1,0,1,0,0,0,0,9.57240275
141,1,0,1,1,0,0,1,3.409183778
142,1,0,1,2,0,0,2,7.176498743
143,1,0,1,0,0,0,0,4.970846707
144,1,0,1,0,0,0,0,19.98813904
145,1,0,1,1,0,0,1,12.10433451
146,1,0,1,1,0,0,1,6.43322964
147,1,0,1,2,0,0,2,7.298754635
148,1,0,1,0,0,0,0,14.27706256
149,1,0,1,0,0,0,0,8.014853881
150,1,0,1,1,0,0,1,3.308345674
151,1,0,1,0,0,0,0,7.473608169
152,1,0,1,0,0,1,1,8.613311394
153,1,0,1,2,0,0,2,6.66219915
154,1,0,1,0,0,0,0,3.034970497
155,1,0,1,0,0,0,0,11.81705831
156,1,0,1,0,0,0,0,2.638332769
157,1,0,1,0,0,0,0,15.03574444
158,1,0,1,1,0,0,1,17.08978052
159,1,0,1,0,0,1,1,20.17902155
160,1,0,1,3,0,0,3,11.36305864
161,1,0,1,0,1,1,2,3.927934642
162,1,0,1,2,0,0,2,10.80630383
163,1,0,1,0,0,0,0,15.95447325
164,1,0,1,0,0,0,0,8.309577243
165,1,0,1,1,0,0,1,12.03178408
166,1,0,1,2,0,0,2,11.22372666
167,1,0,1,1,0,0,1,3.650880256
168,1,0,1,1,1,1,3,6.570708484
169,1,0,1,0,0,0,0,2.654870869
170,1,0,1,1,0,0,1,9.705220762
171,1,0,1,1,0,0,1,6.171295111
172,1,0,1,1,0,0,1,18.1098747
173,1,0,1,1,0,0,1,7.462745742
174,1,0,1,0,0,0,0,2.731974817
175,1,0,1,1,2,0,3,8.002253794
176,1,0,1,0,0,0,0,6.570567895
177,1,0,1,1,0,0,1,4.640857965
178,1,0,1,0,0,0,0,3.133341437
179,1,0,1,1,0,0,1,16.47422
180,1,0,1,0,0,0,0,11.32263705
